id,account_type_id,parent_id,code,name,level,created_at,updated_at
1,1,,AG-ASSET-1,الأصول,1,2026-06-16 05:12:39,2026-06-16 05:12:39
2,2,,AG-LIAB-1,الخصوم,1,2026-06-16 05:12:39,2026-06-16 05:12:39
3,3,,AG-EQ-1,حقوق الملكية,1,2026-06-16 05:12:39,2026-06-16 05:12:39
4,4,,AG-REV-1,الإيرادات,1,2026-06-16 05:12:39,2026-06-16 05:12:39
5,5,,AG-EXP-1,المصروفات,1,2026-06-16 05:12:39,2026-06-16 05:12:39
6,1,,AG-ASSET-2,الأصول,1,2026-06-16 05:12:39,2026-06-16 05:12:39
7,2,,AG-LIAB-2,الخصوم,1,2026-06-16 05:12:39,2026-06-16 05:12:39
8,3,,AG-EQ-2,حقوق الملكية,1,2026-06-16 05:12:39,2026-06-16 05:12:39
9,4,,AG-REV-2,الإيرادات,1,2026-06-16 05:12:39,2026-06-16 05:12:39
10,5,,AG-EXP-2,المصروفات,1,2026-06-16 05:12:39,2026-06-16 05:12:39
11,1,,AG-ASSET-3,الأصول,1,2026-06-16 05:12:39,2026-06-16 05:12:39
12,2,,AG-LIAB-3,الخصوم,1,2026-06-16 05:12:39,2026-06-16 05:12:39
13,3,,AG-EQ-3,حقوق الملكية,1,2026-06-16 05:12:39,2026-06-16 05:12:39
14,4,,AG-REV-3,الإيرادات,1,2026-06-16 05:12:39,2026-06-16 05:12:39
15,5,,AG-EXP-3,المصروفات,1,2026-06-16 05:12:39,2026-06-16 05:12:39
