id,key,title,icon,sort_order,created_at,updated_at,is_active
1,home,الرئيسية,dashboard,0,2026-06-16 05:12:23,2026-06-16 05:12:23,1
2,system-admin,إدارة النظام,admin_panel_settings,10,2026-06-16 05:12:23,2026-06-16 05:12:23,1
3,hr,الموارد البشرية,badge,15,2026-06-16 05:12:23,2026-06-16 05:12:23,1
4,distribution,إدارة التوزيع والمندوبين,local_shipping,20,2026-06-16 05:12:23,2026-06-16 05:12:23,1
5,customers,العملاء,groups,25,2026-06-16 05:12:23,2026-06-16 05:12:23,1
6,inventory,المخزون,inventory_2,30,2026-06-16 05:12:23,2026-06-16 05:12:23,1
7,sales,المبيعات,point_of_sale,35,2026-06-16 05:12:23,2026-06-16 05:12:23,1
8,purchases,المشتريات,shopping_cart,40,2026-06-16 05:12:23,2026-06-16 05:12:23,1
9,finance,المالية,account_balance,45,2026-06-16 05:12:23,2026-06-16 05:12:23,1
10,general-settings,الإعدادات العامة,settings,50,2026-06-16 05:12:23,2026-06-16 05:12:23,1
11,reports,التقارير,assessment,55,2026-06-16 05:12:23,2026-06-16 05:12:23,1
